username,timestamp,attempt_count,time_since_first,success,label
user_3276,44:11.3,8,0.433925,0,brute_force
user_9791,46:03.9,1,113,0,normal
user_5023,46:19.9,1,129,1,normal
user_2608,44:12.9,2,1.996142,0,brute_force
user_9197,47:33.9,1,203,0,normal
user_1336,44:12.6,7,1.734589,0,brute_force
user_7611,48:51.9,2,281,0,normal
user_5381,45:17.9,3,67,1,normal
user_4053,44:41.9,2,31,0,normal
user_5872,44:12.3,13,1.389466,0,brute_force
user_9678,44:11.6,9,0.733545,0,brute_force
user_9249,47:51.9,2,221,1,normal
user_9736,45:18.9,1,68,0,normal
user_8514,44:12.4,2,1.494497,0,brute_force
user_1754,47:18.9,3,188,1,normal
user_7474,44:11.3,14,0.39003,0,brute_force
user_5948,46:58.9,1,168,0,normal
user_5755,48:16.9,1,246,1,normal
user_8533,44:12.7,5,1.832833,0,brute_force
user_4497,45:59.9,3,109,1,normal
user_7185,44:11.5,2,0.573233,0,brute_force
user_4635,47:34.9,2,204,0,normal
user_9387,44:12.4,3,1.494247,0,brute_force
user_4135,44:12.6,3,1.683711,0,brute_force
user_8752,48:39.9,2,269,1,normal
user_9287,46:58.9,2,168,1,normal
user_8081,46:14.9,2,124,1,normal
user_9552,44:48.9,1,38,0,normal
user_1287,44:11.7,3,0.773761,0,brute_force
user_4578,44:12.1,11,1.235522,0,brute_force
user_5156,44:11.7,8,0.840001,0,brute_force
user_7764,44:11.3,4,0.392247,0,brute_force
user_2902,45:56.9,2,106,0,normal
user_2532,44:12.2,7,1.280485,0,brute_force
user_1872,44:12.9,11,1.989761,0,brute_force
user_1390,44:12.1,9,1.197706,0,brute_force
user_7813,44:12.0,9,1.11712,0,brute_force
user_7764,44:11.0,1,0.0836,0,brute_force
user_2341,45:56.9,2,106,0,normal
user_4240,48:11.9,1,241,0,normal
user_8585,45:45.9,1,95,0,normal
user_3224,45:10.9,1,60,1,normal
user_3501,44:11.6,1,0.69894,0,brute_force
user_7185,44:12.4,14,1.472933,0,brute_force
user_7713,46:36.9,2,146,0,normal
user_4135,44:11.0,6,0.132522,0,brute_force
user_1390,44:12.5,2,1.616546,0,brute_force
user_4185,48:39.9,2,269,1,normal
user_2656,47:45.9,2,215,1,normal
user_2230,44:12.2,9,1.257962,0,brute_force
user_9128,46:54.9,2,164,1,normal
user_9674,48:58.9,1,288,0,normal
user_4069,46:11.9,2,121,1,normal
user_9688,46:15.9,1,125,0,normal
user_5249,48:03.9,1,233,1,normal
user_8395,45:46.9,2,96,0,normal
user_7087,47:24.9,1,194,0,normal
user_2361,44:35.9,1,25,1,normal
user_4497,49:02.9,1,292,0,normal
user_3333,46:28.9,2,138,1,normal
user_7409,44:11.8,15,0.947359,0,brute_force
user_1463,48:39.9,2,269,0,normal
user_7114,44:12.6,8,1.74095,0,brute_force
user_2865,46:50.9,3,160,1,normal
user_5749,45:54.9,1,104,0,normal
user_4478,47:48.9,1,218,0,normal
user_7610,49:01.9,1,291,0,normal
user_3131,44:11.9,4,1.033572,0,brute_force
user_3387,44:12.6,9,1.706579,0,brute_force
user_9264,48:13.9,1,243,0,normal
user_7371,47:59.9,1,229,1,normal
user_4257,45:27.9,1,77,0,normal
user_9179,44:12.6,7,1.710096,0,brute_force
user_8869,44:12.6,3,1.671766,0,brute_force
user_3067,48:45.9,2,275,0,normal
user_3125,44:11.0,5,0.136447,0,brute_force
user_8619,48:38.9,2,268,1,normal
user_8533,44:11.9,3,1.017764,0,brute_force
user_1336,44:11.0,5,0.098834,0,brute_force
user_8685,46:00.9,2,110,1,normal
user_5354,44:12.4,7,1.495472,0,brute_force
user_4578,44:11.4,13,0.545297,0,brute_force
user_4710,47:29.9,1,199,1,normal
user_7672,47:18.9,1,188,0,normal
user_4035,46:06.9,1,116,1,normal
user_5485,45:42.9,1,92,1,normal
user_8574,48:25.9,3,255,1,normal
user_7412,45:12.9,2,62,0,normal
user_3489,46:20.9,3,130,1,normal
user_3587,44:11.6,4,0.718827,0,brute_force
user_8709,47:25.9,1,195,1,normal
user_3335,45:23.9,1,73,1,normal
user_6006,44:28.9,1,18,0,normal
user_8526,46:54.9,2,164,0,normal
user_9297,44:12.5,5,1.639261,0,brute_force
user_5919,48:07.9,1,237,1,normal
user_7074,44:11.1,11,0.248503,0,brute_force
user_3276,44:11.0,5,0.12304,0,brute_force
user_2738,47:24.9,2,194,0,normal
user_5046,45:59.9,3,109,1,normal
user_2603,44:11.7,11,0.815638,0,brute_force
user_2230,44:11.5,14,0.550654,0,brute_force
user_5025,45:06.9,1,56,1,normal
user_6230,45:50.9,3,100,1,normal
user_4365,45:42.9,2,92,1,normal
user_7813,44:12.1,2,1.210955,0,brute_force
user_4354,49:07.9,1,297,0,normal
user_1954,44:12.1,2,1.174364,0,brute_force
user_7753,48:03.9,1,233,0,normal
user_1267,44:43.9,2,33,0,normal
user_7115,45:22.9,1,72,0,normal
user_5539,47:53.9,1,223,0,normal
user_6803,47:11.9,1,181,0,normal
user_1774,48:07.9,1,237,0,normal
user_7775,45:00.9,2,50,1,normal
user_2908,44:11.2,9,0.31919,0,brute_force
user_1274,44:12.0,1,1.12643,0,brute_force
user_2368,48:26.9,2,256,1,normal
user_4504,44:11.4,6,0.501896,0,brute_force
user_1017,45:02.9,2,52,1,normal
user_1519,48:09.9,1,239,0,normal
user_9297,44:12.0,8,1.149542,0,brute_force
user_1754,46:50.9,3,160,1,normal
user_7813,44:12.6,14,1.663989,0,brute_force
user_1499,46:58.9,1,168,1,normal
user_4121,48:40.9,1,270,1,normal
user_7470,44:11.6,6,0.749298,0,brute_force
user_9072,46:04.9,2,114,1,normal
user_1145,48:28.9,1,258,0,normal
user_4135,44:12.4,5,1.54671,0,brute_force
user_4638,46:45.9,2,155,1,normal
user_2026,44:11.9,6,1.031624,0,brute_force
user_9116,48:45.9,1,275,0,normal
user_4996,45:55.9,2,105,0,normal
user_4354,45:29.9,2,79,0,normal
user_4645,46:09.9,1,119,0,normal
user_8380,44:12.3,2,1.424637,0,brute_force
user_6369,48:24.9,1,254,1,normal
user_7401,44:12.0,10,1.093674,0,brute_force
user_1390,44:12.0,1,1.139652,0,brute_force
user_4578,44:12.7,9,1.825906,0,brute_force
user_2403,44:11.9,6,0.994325,0,brute_force
user_3334,44:12.3,11,1.357724,0,brute_force
user_2373,49:10.9,1,300,1,normal
user_8533,44:11.1,1,0.202703,0,brute_force
user_1404,45:57.9,3,107,1,normal
user_1584,46:08.9,1,118,1,normal
user_1135,45:57.9,2,107,0,normal
user_3379,49:04.9,1,294,0,normal
user_8340,48:14.9,2,244,1,normal
user_1481,48:43.9,1,273,1,normal
user_6115,44:11.5,6,0.59951,0,brute_force
user_2026,44:11.9,10,0.964359,0,brute_force
user_3454,45:42.9,1,92,0,normal
user_4780,46:21.9,1,131,1,normal
user_8394,46:18.9,2,128,0,normal
user_7795,44:11.5,1,0.614635,0,brute_force
user_3329,45:19.9,2,69,1,normal
user_6493,47:12.9,1,182,0,normal
user_7087,46:42.9,3,152,1,normal
user_1722,49:08.9,3,298,1,normal
user_4916,47:41.9,2,211,1,normal
user_4433,47:59.9,1,229,0,normal
user_1583,46:21.9,2,131,0,normal
user_1081,47:37.9,2,207,0,normal
user_3525,48:30.9,1,260,0,normal
user_1537,47:56.9,3,226,1,normal
user_3379,48:21.9,2,251,0,normal
user_5693,44:12.3,1,1.358536,0,brute_force
user_7470,44:11.6,5,0.731627,0,brute_force
user_6029,44:11.0,6,0.141689,0,brute_force
user_8591,47:47.9,1,217,0,normal
user_6027,47:20.9,1,190,0,normal
user_9482,45:32.9,2,82,1,normal
user_5868,48:37.9,1,267,0,normal
user_6523,47:11.9,1,181,1,normal
user_2504,45:17.9,3,67,1,normal
user_3501,44:12.8,7,1.861049,0,brute_force
user_1789,45:56.9,2,106,0,normal
user_5046,48:18.9,1,248,0,normal
user_2928,45:34.9,1,84,0,normal
user_5918,45:27.9,1,77,0,normal
user_2289,46:30.9,1,140,0,normal
user_7631,46:36.9,1,146,1,normal
user_6549,45:50.9,2,100,1,normal
user_3334,44:12.8,10,1.928641,0,brute_force
user_2090,46:53.9,3,163,1,normal
user_6168,44:11.0,2,0.091883,0,brute_force
user_7517,49:00.9,2,290,1,normal
user_8602,46:08.9,1,118,0,normal
user_9297,44:12.1,3,1.22389,0,brute_force
user_8526,47:09.9,3,179,1,normal
user_8959,46:42.9,1,152,1,normal
user_1948,45:19.9,3,69,1,normal
user_2884,44:24.9,1,14,0,normal
user_8726,49:03.9,2,293,1,normal
user_3452,48:20.9,1,250,0,normal
user_1330,45:34.9,2,84,1,normal
user_2618,44:11.7,4,0.819063,0,brute_force
user_8468,44:11.4,8,0.511424,0,brute_force
user_5442,44:11.9,3,1.023096,0,brute_force
user_5446,47:08.9,2,178,0,normal
user_1754,48:59.9,2,289,0,normal
user_2206,46:53.9,2,163,0,normal
user_1940,44:28.9,2,18,0,normal
user_7782,46:59.9,3,169,1,normal
user_7708,44:23.9,2,13,1,normal
user_1387,49:06.9,1,296,1,normal
user_2513,46:25.9,2,135,1,normal
user_9179,44:11.5,5,0.629109,0,brute_force
user_2925,44:12.1,5,1.161574,0,brute_force
user_5067,49:01.9,3,291,1,normal
user_4094,44:20.9,3,10,1,normal
user_1954,44:10.9,9,0.003302,0,brute_force
user_6795,47:11.9,2,181,0,normal
user_2804,45:03.9,1,53,1,normal
user_7183,48:49.9,1,279,1,normal
user_2908,44:11.1,3,0.211069,0,brute_force
user_4578,44:12.1,1,1.192045,0,brute_force
user_8444,44:49.9,1,39,1,normal
user_1748,47:13.9,1,183,0,normal
user_8020,48:59.9,1,289,0,normal
user_4437,46:05.9,1,115,0,normal
user_2752,45:27.9,2,77,1,normal
user_6764,47:42.9,2,212,1,normal
user_7474,44:12.5,11,1.599648,0,brute_force
user_3793,47:01.9,1,171,1,normal
user_9332,47:53.9,2,223,0,normal
user_6882,45:25.9,1,75,0,normal
user_3125,44:11.0,2,0.112902,0,brute_force
user_1135,44:44.9,3,34,1,normal
user_9297,44:10.9,6,0.006309,0,brute_force
user_3240,47:47.9,1,217,0,normal
user_2608,44:12.3,12,1.376308,0,brute_force
user_7753,47:14.9,2,184,0,normal
user_7282,44:12.2,2,1.25972,0,brute_force
user_3131,44:11.4,5,0.548229,0,brute_force
user_8514,44:11.6,5,0.736414,0,brute_force
user_7282,44:12.6,8,1.7164,0,brute_force
user_4324,44:11.4,12,0.481337,0,brute_force
user_9799,47:31.9,3,201,1,normal
user_7230,45:29.9,2,79,0,normal
user_4860,45:37.9,1,87,1,normal
user_7323,46:16.9,2,126,0,normal
user_6182,48:34.9,1,264,1,normal
user_1135,44:55.9,1,45,0,normal
user_4137,46:47.9,2,157,1,normal
user_3908,44:12.4,3,1.478182,0,brute_force
user_3007,46:37.9,2,147,1,normal
user_3874,44:12.4,6,1.479148,0,brute_force
user_7414,44:11.7,4,0.808767,0,brute_force
user_5036,46:54.9,1,164,0,normal
user_2447,45:20.9,2,70,1,normal
user_3716,45:03.9,3,53,1,normal
user_1697,45:51.9,1,101,0,normal
user_8869,44:12.8,7,1.915109,0,brute_force
user_7832,44:40.9,1,30,1,normal
user_8533,44:11.2,6,0.300073,0,brute_force
user_2026,44:11.5,5,0.579562,0,brute_force
user_1152,44:12.8,9,1.937114,0,brute_force
user_3037,45:53.9,1,103,0,normal
user_3276,44:11.6,6,0.725418,0,brute_force
user_5073,44:11.3,1,0.419809,0,brute_force
user_1774,46:04.9,2,114,0,normal
user_3397,44:12.2,2,1.296242,0,brute_force
user_2608,44:11.3,10,0.374513,0,brute_force
user_9165,46:30.9,2,140,1,normal
user_6107,46:29.9,1,139,0,normal
user_6394,44:48.9,3,38,1,normal
user_9123,47:56.9,2,226,1,normal
user_7098,46:45.9,2,155,1,normal
user_8781,47:30.9,1,200,0,normal
user_3542,44:11.1,1,0.213157,0,brute_force
user_9198,45:52.9,2,102,0,normal
user_4301,46:42.9,1,152,0,normal
user_9181,44:11.4,6,0.528993,0,brute_force
user_1216,45:19.9,2,69,0,normal
user_9037,47:47.9,1,217,0,normal
user_1754,47:45.9,2,215,0,normal
user_8079,46:06.9,2,116,1,normal
user_6632,47:48.9,3,218,1,normal
user_9445,44:11.6,8,0.747549,0,brute_force
user_7795,44:12.2,9,1.289938,0,brute_force
user_4828,45:41.9,2,91,0,normal
user_5245,48:40.9,2,270,0,normal
user_8055,47:34.9,2,204,0,normal
user_3125,44:11.3,6,0.360304,0,brute_force
user_1902,45:29.9,2,79,0,normal
user_3823,47:15.9,3,185,1,normal
user_2069,49:02.9,1,292,1,normal
user_2427,48:15.9,2,245,0,normal
user_6421,45:42.9,3,92,1,normal
user_3697,44:11.2,11,0.296206,0,brute_force
user_1126,44:11.0,6,0.082095,0,brute_force
user_7339,45:20.9,1,70,0,normal
user_3493,48:57.9,1,287,1,normal
user_3535,46:19.9,1,129,1,normal
user_6029,44:10.9,7,0.014128,0,brute_force
user_7282,44:11.2,14,0.330165,0,brute_force
user_6115,44:12.0,10,1.11376,0,brute_force
user_1954,44:11.0,6,0.10721,0,brute_force
user_7713,47:21.9,3,191,1,normal
user_3997,44:59.9,2,49,1,normal
user_5428,46:59.9,1,169,1,normal
user_5770,47:35.9,1,205,1,normal
user_1264,44:32.9,2,22,1,normal
user_7282,44:11.1,1,0.166369,0,brute_force
user_2248,44:12.8,7,1.88288,0,brute_force
user_2928,48:28.9,3,258,1,normal
user_4218,49:07.9,2,297,1,normal
user_1404,47:19.9,2,189,0,normal
user_6537,44:11.8,4,0.885844,0,brute_force
user_7282,44:12.4,9,1.453082,0,brute_force
user_6769,46:08.9,1,118,1,normal
user_5073,44:11.0,4,0.133469,0,brute_force
user_6631,44:11.7,3,0.847196,0,brute_force
user_4433,45:36.9,2,86,1,normal
user_7282,44:10.9,13,0.027297,0,brute_force
user_8243,44:12.6,6,1.660217,0,brute_force
user_2716,45:51.9,1,101,0,normal
user_4894,47:33.9,3,203,1,normal
user_7474,44:12.9,2,1.972387,0,brute_force
user_9181,44:11.0,2,0.085259,0,brute_force
user_2344,48:05.9,2,235,1,normal
user_5297,44:11.3,5,0.367676,0,brute_force
user_2102,46:56.9,1,166,1,normal
user_9664,47:50.9,2,220,1,normal
user_1813,47:41.9,1,211,0,normal
user_4828,45:54.9,3,104,1,normal
user_2145,45:17.9,1,67,0,normal
user_9450,47:19.9,1,189,0,normal
user_7185,44:11.7,7,0.77982,0,brute_force
user_2230,44:11.2,11,0.347297,0,brute_force
user_2010,48:37.9,1,267,0,normal
user_6115,44:11.4,12,0.511029,0,brute_force
user_9381,46:16.9,3,126,1,normal
user_2716,47:00.9,3,170,1,normal
user_9482,45:32.9,1,82,0,normal
user_2616,49:10.9,2,300,0,normal
user_9123,47:23.9,1,193,0,normal
user_6979,44:12.3,6,1.406417,0,brute_force
user_2407,48:24.9,2,254,0,normal
user_8494,46:22.9,2,132,0,normal
user_3379,47:52.9,3,222,1,normal
user_4578,44:12.2,5,1.281612,0,brute_force
user_7185,44:12.3,5,1.430363,0,brute_force
user_4504,44:12.0,2,1.082868,0,brute_force
user_2851,45:07.9,1,57,1,normal
user_3908,44:12.7,9,1.809055,0,brute_force
user_3616,44:42.9,1,32,0,normal
user_6616,44:12.3,15,1.4335,0,brute_force
user_4332,47:18.9,2,188,0,normal
user_2716,48:16.9,2,246,0,normal
user_7383,48:23.9,1,253,1,normal
user_1697,48:05.9,1,235,0,normal
user_9654,45:50.9,2,100,0,normal
user_8468,44:11.7,6,0.827993,0,brute_force
user_2925,44:12.2,2,1.323637,0,brute_force
user_7362,44:12.3,2,1.384614,0,brute_force
user_9269,47:32.9,3,202,1,normal
user_4140,45:49.9,1,99,1,normal
user_6115,44:10.9,8,0.049409,0,brute_force
user_3592,46:28.9,1,138,1,normal
user_7409,44:12.4,11,1.521914,0,brute_force
user_6281,44:12.0,2,1.113452,0,brute_force
user_5156,44:10.9,4,0.041911,0,brute_force
user_9936,46:28.9,2,138,0,normal
user_6631,44:11.0,5,0.091293,0,brute_force
user_9166,45:38.9,1,88,1,normal
user_2738,45:32.9,3,82,1,normal
user_4862,46:12.9,1,122,0,normal
user_3697,44:12.5,1,1.585239,0,brute_force
user_1126,44:11.2,4,0.285753,0,brute_force
user_2952,44:58.9,1,48,0,normal
user_3125,44:11.3,3,0.382622,0,brute_force
user_7401,44:11.2,5,0.295205,0,brute_force
user_7736,45:11.9,2,61,1,normal
user_7470,44:12.3,8,1.422026,0,brute_force
user_6494,44:12.7,12,1.794046,0,brute_force
user_5938,44:12.2,4,1.254034,0,brute_force
user_5693,44:11.1,4,0.247707,0,brute_force
user_7758,48:39.9,1,269,0,normal
user_1132,44:12.4,2,1.523356,0,brute_force
user_9688,48:44.9,2,274,0,normal
user_8950,46:39.9,1,149,1,normal
user_2925,44:11.7,8,0.828952,0,brute_force
user_9113,44:11.5,3,0.628773,0,brute_force
user_6567,46:04.9,1,114,1,normal
user_4324,44:12.6,11,1.679399,0,brute_force
user_1574,44:12.5,14,1.612832,0,brute_force
user_9118,44:11.5,1,0.621139,0,brute_force
user_7074,44:12.2,9,1.309721,0,brute_force
user_3346,47:01.9,3,171,1,normal
user_6135,44:11.4,1,0.483883,0,brute_force
user_8514,44:11.3,3,0.417604,0,brute_force
user_6983,48:28.9,2,258,0,normal
user_8672,44:11.0,3,0.127477,0,brute_force
user_3501,44:11.1,5,0.228207,0,brute_force
user_3435,44:42.9,3,32,1,normal
user_9181,44:11.3,3,0.41148,0,brute_force
user_4324,44:11.9,5,0.958513,0,brute_force
user_5581,49:04.9,2,294,1,normal
user_1145,47:55.9,2,225,0,normal
user_6658,47:26.9,1,196,1,normal
user_8468,44:11.1,4,0.150102,0,brute_force
user_8020,49:06.9,2,296,1,normal
user_7117,45:29.9,1,79,0,normal
user_9678,44:11.3,1,0.430933,0,brute_force
user_9179,44:11.7,11,0.833013,0,brute_force
user_2827,46:32.9,2,142,0,normal
user_6312,47:32.9,1,202,0,normal
user_2513,48:47.9,1,277,0,normal
user_6419,48:34.9,3,264,1,normal
user_1991,47:23.9,1,193,1,normal
user_8677,44:58.9,1,48,0,normal
user_5297,44:11.7,7,0.812883,0,brute_force
user_8468,44:11.6,10,0.713014,0,brute_force
user_9710,44:45.9,3,35,1,normal
user_8685,44:32.9,1,22,0,normal
user_9445,44:12.1,12,1.171465,0,brute_force
user_3823,49:06.9,2,296,0,normal
user_7897,44:40.9,2,30,1,normal
user_8617,44:11.9,6,0.963586,0,brute_force
user_6616,44:12.4,5,1.460635,0,brute_force
user_3981,46:02.9,2,112,1,normal
user_1724,46:45.9,2,155,1,normal
user_7560,46:01.9,3,111,1,normal
user_3697,44:12.7,6,1.76594,0,brute_force
user_1152,44:12.1,8,1.188668,0,brute_force
user_1872,44:12.8,8,1.858272,0,brute_force
user_6597,45:12.9,1,62,1,normal
user_1184,45:16.9,2,66,1,normal
user_9128,47:21.9,1,191,0,normal
user_9297,44:11.4,9,0.50644,0,brute_force
user_7764,44:12.3,10,1.417017,0,brute_force
user_9445,44:11.6,9,0.695879,0,brute_force
user_9678,44:11.4,2,0.541405,0,brute_force
user_1274,44:11.2,5,0.344294,0,brute_force
user_9799,44:36.9,2,26,0,normal
user_7409,44:12.8,4,1.873088,0,brute_force
user_7074,44:12.4,7,1.454321,0,brute_force
